Key,English,Chinese,Japanese
appTitle,"Note.SV","Note.SV","Note.SV"
subtitle,"Encrypted and decentralized password manager and note storage","要永远好好守护 一组暗号","暗号資産を守り抜きます"
password,"Passwords","密码","パスワード"
settings,"Settings","设置","設定"
help,"Help","帮助","ヘルプ"
note,"Notes","笔记","ノート"
shared,"Shared","分享","共有"
label,"Labels","标签","ラベル"
balanceSatoshi,"Balance: {walletBalance} Satoshi","余额：{walletBalance} Satoshi","残高：{walletBalance} Satoshi"
charge,"Add Fund","充值","チャージ"
lockScreen,"Lock Screen","锁屏","画面をロックする"
inputPassword,"Input password to unlock","请输入密码解锁","パスワードを入力してください"
BiometricAuth,"Biometric Auth","生物特征识别","生体認証"
FaceIDAuth,"Use Face ID to auth and unlock","面部识别解锁","Face IDで認証しロック解除"
TouchIDAuth,"Use Touch ID to auth and unlock","指纹等特征识别解锁","指紋IDなどで認証しロック解除"
unlock,"Unlock","解锁","ロック解除"
forgotPassword,"Forgot Password","忘记了密码","パスワード忘れ"
day,"Day","日","日"
hours,"Hours","小时","時間"
minute,"after {minute} minute","无动作{minute}分钟后","無操作{minute}分後"
minutes,"after {minute} minutes","无动作{minute}分钟后","無操作{minute}分後"
seconds,"Seconds","秒","秒"
Characters,"{length} Characters","{length} 个字符","{length} 文字"
UppercaseLetters,"Uppercase Letters (A-Z)","大写字母 (A-Z)","大文字 (A-Z)"
LowercaseLetters,"Lowercase Letters (a-z)","小写字母 (a-z)","小文字 (a-z)"
IncludeNumbers,"Include Numbers (0-9)","包括数字 (0-9)","数字 (0-9)"
IncludeSymbols,"Include Symbols","包括符号","記号"
Intro,"Introduce","介绍","初め"
CreateMasterWords,"Create Master Words","创建新的超级密语","マスター単語を作成する"
ImportMasterWords,"Import Master Words","导入已有超级密语","マスター単語をインポートする"
ScanAndImportMasterWords,"Scan QR Code of Master Code and Import","扫描超级密语二维码导入","マスター単語のQRコードをスキャンしてインポートする"
LockScreenPassword,"Input Lock Screen Password","输入锁屏密码","画面ロック用パスワード"
LockScreenPasswordAgain,"Input Lock Screen Password again","再次输入锁屏密码","画面ロック用パスワード（再度入力）"
error,"Error. Please try again soon.","发生了错误，请稍后再试","エラーが発生しました。後ほどもう一度試してください"
AtLeastOneRule,"At least one rule for pools must be true","最少需要一个密码生成规则","少なくでも一つのパスワード生成ルールが必要です。"
GeneratePassword,"Generate Password","生成密码","パスワードを生成する"
AppVersion,"App Version","App 版本","アプリバージョン"
AutoLockScreen,"Auto Lock Screen","自动锁屏","画面自動ロック"
ScrollBackUp,"Scroll back up...","返回顶部","トップに戻る"
status,"[object Object]","[object Object]","[object Object]"
HistoryRecord,"History Record","历史记录","履歴記録"
Return,"Back","返回","戻る"
Search,"Look up","搜索","検索"
SearchAll,"All","所有的項目","全ての項目"
Share,"Share","分享","共有"
SortBy,"Sort by","排序方式","ソート"
title,"Title","标题","タイトル"
time,"Time","时间","更新時刻"
AddNote,"Add a note","添加笔记","ノート作成"
AddPassword,"Add a password","添加密码信息","パスワード作成"
AutoSaveDraft,"Auto Save Draft","自动保存草稿","ドラフト自動保存"
SaveDraft,"Save Draft","保存草稿","ドラフト保存"
SaveSubmit,"Sync Save","同步保存","同期保存"
Save,"Save","保存","保存"
RequireVal,"Require input","必须有内容","内容入力必要"
Content,"Content","笔记正文","ノート内容"
CheckRule,"Please check your input","请检查输入的内容是否符合规则","入力内容をチェックしてください"
Submited,"Submited","已经提交","保存提出"
EditNote,"Edit","编辑信息","ノート編集"
